station,lat,lon,depth,temperature,salinity,fluorescence
24,-24.80555556,-44.925,3,25.495,36.1246,0.120823077
25,-25.08666667,-44.74277778,3,26.7737,36.9683,0.120823077
27,-25.37861111,-44.3875,3,26.5915,36.7999,0.120823077
28,-25.49722222,-44.21722222,3,26.7576,36.7635,0.120823077
29,-24.96888889,-43.73722222,3,26.4886,36.8345,0.120823077
30,-24.92888889,-43.92583333,3,26.7505,36.8508,0.120823077
31,-24.68138889,-44.10194444,3,26.6957,36.6802,0.120823077
32,-24.42611111,-44.27444444,3,25.4627,36.4236,0.120823077
33,-24.43055556,-44.465,3,23.928,35.8734,0.120823077
34,-24.10916667,-44.64277778,3,25.5265,35.5034,0.120823077
35,-23.9274788,-44.81777778,3,26.1976,35.4554,0.120823077
36,-23.77030537,-44.98444444,3,26.432,35.523,0.120823077
37,-23.55361111,-44.26666667,3,26.8929,35.3446,0.120823077
38,-23.89722222,-44.08805556,3,25.7217,35.7292,0.120823077
39,-23.97472222,-43.90861111,3,25.7924,36.1539,0.120823077
40,-23.97694444,-43.73638889,3,25.9877,36.2586,0.120823077
41,-24.20027778,-43.55722222,3,25.8013,36.3517,0.120823077
42,-24.49138889,-43.37222222,3,27.5721,37.1323,0.120823077
43,-24.52972222,-43.20416667,3,27.849,37.1218,0.120823077
44,-24.55416667,-42.48888889,3,26.3493,36.5953,0.120823077
45,-24.44388889,-42.62138889,3,26.1423,36.0481,0.120823077
46,-24.32055556,-42.78055556,3,25.9413,36.1939,0.120823077
47,-24.12361111,-42.93722222,3,25.4399,36.1238,0.120823077
48,-23.95416667,-43.08833333,3,26.3324,36.5706,0.120823077
49,-23.71694444,-43.2375,3,25.8171,36.1543,0.120823077
50,-23.51972222,-43.38472222,3,25.9154,36.067,0.120823077
51,-23.52,-43.53916667,3,26.401,35.5298,0.120823077
52,-23.34555556,-42.66888889,3,24.9443,35.7889,0.120823077
53,-23.46555556,-42.50638889,3,24.198,35.9865,0.120823077
54,-23.72194444,-42.34472222,3,25.0385,35.9996,0.120823077
55,-23.96055556,-42.17638889,3,25.2848,35.9857,0.120823077
56,-24.19388889,-42.01166667,3,25.1657,35.9891,0.120823077
57,-24.37305556,-41.82472222,3,26.6175,36.8791,0.120823077
58,-23.93861111,-41.41055556,3,27.2531,36.9835,0.120823077
59,-24.03083333,-41.56583333,3,26.6278,36.9083,0.120823077
60,-23.82055556,-41.72333333,3,25.9312,35.8643,0.120823077
61,-23.63416667,-41.85777778,3,25.4031,35.863,0.120823077
62,-23.31777778,-42.02111111,3,25.7434,35.699,0.120823077
63,-23.19777778,-41.8325,3,23.7859,35.6737,0.120823077
64,-23.37472222,-41.66888889,3,24.9316,35.8633,0.120823077
65,-23.70055556,-41.51,3,25.7636,35.889,0.120823077
66,-23.83138889,-41.36111111,3,27.4776,37.1346,0.120823077
67,-23.77777778,-41.20638889,3,27.3258,37.0785,0.120823077
68,-23.63777778,-40.99666667,3,27.3819,37.085,0.120823077
69,-23.65277778,-41.15305556,3,27.4962,37.1627,0.120823077
70,-23.43388889,-41.31666667,3,26.4522,36.8831,0.120823077
71,-23.21888889,-41.47138889,3,24.8774,35.726,0.120823077
72,-23.06055556,-41.62166667,3,25.9352,35.547,0.120823077
73,-22.66444444,-41.4675,3,24.096,35.7412,0.120823077
74,-22.8925,-41.30666667,3,25.4001,34.8538,0.120823077
75,-22.96277778,-41.15611111,3,26.9258,37.0432,0.120823077
76,-23.14583333,-40.98333333,3,27.4195,37.1464,0.120823077
77,-23.41444444,-40.83861111,3,27.3946,37.1136,0.120823077
77,-23.41444444,-40.83583333,3,27.4129,37.1131,0.120823077
78,-22.87027778,-40.40888889,3,26.1754,36.4288,0.120823077
79,-22.71,-40.59583333,3,25.2842,36.5852,0.120823077
80,-22.6,-40.77805556,3,25.4851,36.5178,0.120823077
81,-22.45611111,-40.96027778,3,22.9999,35.9539,0.120823077
82,-21.85833333,-40.67805556,3,23.9073,36.0022,0.120823077
83,-21.99166667,-40.45333333,3,24.6177,36.4689,0.120823077
84,-21.98083333,-40.24638889,3,26.0818,36.4442,0.120823077
85,-22.10083333,-40.02694444,3,27.5626,36.4641,0.120823077
86,-22.24805556,-39.80833333,3,27.8082,37.2706,0.120823077
3,-25.42555556,-46.4675,4,26.7796,35.9423,0.177
4,-25.36388889,-46.30472222,4,26.3923,35.9468,0.205
5,-25.49083333,-46.12222222,4,26.4156,36.216,0.144
6,-25.855,-45.95861111,4,25.8196,35.9031,0.13
7,-25.92777778,-45.77944444,4,26.3044,37.0182,0.103
8,-26.01666667,-45.60166667,4,26.7489,37.113,0.0868
9,-26.09527778,-45.41916667,4,27.1426,37.1379,0.0889
10,-26.30444444,-45.25777778,4,26.8265,37.141,0.0852
11,-25.86472222,-44.6725,4,26.1894,37.0474,0.0948
12,-25.68944444,-44.84972222,4,25.5183,36.6874,0.0849
13,-25.555,-45.05694444,4,25.3858,36.6181,0.0943
14,-25.25944444,-45.21972222,4,25.7733,35.8477,0.123
15,-25.29861111,-45.42888889,4,25.6006,35.8469,0.149
18,-24.81944444,-46.14361111,4,26.2209,33.4099,0.120453846
21,-24.35194444,-45.45111111,4,24.5058,35.6214,0.120453846
22,-24.65805556,-45.27,4,26.3715,35.34,0.120453846
23,-24.64416667,-45.1,4,25.0019,36.1587,0.120453846
24,-24.80555556,-44.925,4,25.5008,36.1324,0.120453846
25,-25.08666667,-44.74277778,4,26.7746,36.9679,0.120453846
27,-25.37861111,-44.3875,4,26.5925,36.7987,0.120453846
28,-25.49722222,-44.21722222,4,26.7656,36.766,0.120453846
29,-24.96888889,-43.73722222,4,26.4837,36.837,0.120453846
30,-24.92888889,-43.92583333,4,26.7527,36.8498,0.120453846
31,-24.68138889,-44.10194444,4,26.6974,36.6799,0.120453846
32,-24.42611111,-44.27444444,4,25.4629,36.4233,0.120453846
33,-24.43055556,-44.465,4,23.8834,35.8997,0.120453846
34,-24.10916667,-44.64277778,4,25.4963,35.5123,0.120453846
35,-23.9274788,-44.81777778,4,26.1994,35.4649,0.120453846
36,-23.77030537,-44.98444444,4,25.3228,35.7107,0.120453846
37,-23.55361111,-44.26666667,4,26.8988,35.3411,0.120453846
38,-23.89722222,-44.08805556,4,25.7227,35.729,0.120453846
39,-23.97472222,-43.90861111,4,25.792,36.1536,0.120453846
40,-23.97694444,-43.73638889,4,25.9709,36.2623,0.120453846
41,-24.20027778,-43.55722222,4,25.7988,36.3521,0.120453846
42,-24.49138889,-43.37222222,4,27.5827,37.1032,0.120453846
43,-24.52972222,-43.20416667,4,27.8506,37.1222,0.120453846
44,-24.55416667,-42.48888889,4,26.3697,36.6127,0.120453846
45,-24.44388889,-42.62138889,4,26.1428,36.0488,0.120453846
46,-24.32055556,-42.78055556,4,25.9424,36.1945,0.120453846
47,-24.12361111,-42.93722222,4,25.4639,36.1255,0.120453846
48,-23.95416667,-43.08833333,4,26.3293,36.5729,0.120453846
49,-23.71694444,-43.2375,4,25.8165,36.1544,0.120453846
50,-23.51972222,-43.38472222,4,25.9156,36.0672,0.120453846
51,-23.52,-43.53916667,4,26.3548,35.5379,0.120453846
52,-23.34555556,-42.66888889,4,24.4857,35.9109,0.120453846
